instancia,resultado_ideal,guloso,desvio_guloso,randomizado_alfa_0.03,desvio_randomizado_alfa_0.03,randomizado_alfa_0.04,desvio_randomizado_alfa_0.04,randomizado_alfa_0.05,desvio_randomizado_alfa_0.05,reativo,desvio_reativo
TC4001.DAT,597.00,913.00,52.93,717.00,20.10,732.00,22.61,698.00,16.92,715.00,19.77
TC40010.DAT,600.00,859.00,43.17,788.00,31.33,785.00,30.83,784.00,30.67,766.00,27.67
TC4002.DAT,588.00,933.00,58.67,817.00,38.95,780.00,32.65,796.00,35.37,785.00,33.50
TC4003.DAT,608.00,816.00,34.21,690.00,13.49,709.00,16.61,733.00,20.56,680.00,11.84
TC4004.DAT,639.00,796.00,24.57,728.00,13.93,728.00,13.93,729.00,14.08,724.00,13.30
TC4005.DAT,615.00,898.00,46.02,898.00,46.02,894.00,45.37,901.00,46.50,867.00,40.98
TC4006.DAT,590.00,847.00,43.56,701.00,18.81,732.00,24.07,713.00,20.85,686.00,16.27
TC4007.DAT,609.00,799.00,31.20,709.00,16.42,724.00,18.88,713.00,17.08,697.00,14.45
TC4008.DAT,554.00,885.00,59.75,803.00,44.95,793.00,43.14,801.00,44.58,771.00,39.17
TC4009.DAT,611.00,777.00,27.17,692.00,13.26,684.00,11.95,690.00,12.93,655.00,7.20
TE4001.DAT,639.00,738.00,15.49,621.00,-2.82,640.00,0.16,640.00,0.16,603.00,-5.63
TE40010.DAT,782.00,813.00,3.96,751.00,-3.96,761.00,-2.69,758.00,-3.07,726.00,-7.16
TE4002.DAT,607.00,886.00,45.96,710.00,16.97,727.00,19.77,723.00,19.11,694.00,14.33
TE4003.DAT,587.00,894.00,52.30,765.00,30.32,749.00,27.60,747.00,27.26,721.00,22.83
TE4004.DAT,600.00,1016.00,69.33,924.00,54.00,876.00,46.00,910.00,51.67,882.00,47.00
TE4005.DAT,593.00,821.00,38.45,672.00,13.32,658.00,10.96,664.00,11.97,655.00,10.46
TE4006.DAT,824.00,1080.00,31.07,912.00,10.68,909.00,10.32,898.00,8.98,873.00,5.95
TE4007.DAT,827.00,872.00,5.44,741.00,-10.40,721.00,-12.82,728.00,-11.97,727.00,-12.09
TE4008.DAT,833.00,896.00,7.56,769.00,-7.68,773.00,-7.20,784.00,-5.88,747.00,-10.32
TE4009.DAT,781.00,1021.00,30.73,919.00,17.67,897.00,14.85,908.00,16.26,877.00,12.29
tc120-1.dat,,1175.00,,1256.00,,1301.00,,1384.00,,1222.00,
tc160-1.dat,,1714.00,,1837.00,,1966.00,,2143.00,,1843.00,
tc80-1.dat,,1227.00,,1118.00,,1168.00,,1219.00,,1119.00,
tc80-2.dat,,1506.00,,1309.00,,1372.00,,1405.00,,1290.00,
tc80-3.dat,,1269.00,,1190.00,,1224.00,,1223.00,,1167.00,
tc80-4.dat,,1219.00,,1190.00,,1215.00,,1265.00,,1165.00,
tc80-5.dat,,1646.00,,1400.00,,1457.00,,1509.00,,1389.00,
te120-1.dat,,1383.00,,1377.00,,1466.00,,1480.00,,1366.00,
te160-1.dat,,1837.00,,1991.00,,2162.00,,2263.00,,1892.00,
te80-1.dat,,1866.00,,1820.00,,1946.00,,1989.00,,1816.00,
te80-2.dat,,1987.00,,1813.00,,1861.00,,1993.00,,1747.00,
te80-3.dat,,1793.00,,1758.00,,1873.00,,1918.00,,1733.00,
te80-4.dat,,1725.00,,1566.00,,1642.00,,1690.00,,1518.00,
te80-5.dat,,1909.00,,1873.00,,1982.00,,2058.00,,1864.00,
