data_hora,instancia,n_vertices,capacidade,algoritmo,alpha,iteracoes,tamanho_bloco,semente,tempo_segundos,melhor_solucao,media_solucoes,melhor_alpha,solucao_otima
2026-01-17 17:19:13,tc120-1.dat,120,5,guloso,,,,1905486194,0.002090,1175.00,,,
2026-01-17 17:19:13,tc120-1.dat,120,5,guloso,,,,1909669625,0.002065,1175.00,,,
2026-01-17 17:19:13,tc120-1.dat,120,5,guloso,,,,1913825245,0.002439,1175.00,,,
2026-01-17 17:19:13,tc120-1.dat,120,5,guloso,,,,1918058216,0.002107,1175.00,,,
2026-01-17 17:19:13,tc120-1.dat,120,5,guloso,,,,1922419216,0.002111,1175.00,,,
2026-01-17 17:19:13,tc120-1.dat,120,5,guloso,,,,1926754546,0.002064,1175.00,,,
2026-01-17 17:19:13,tc120-1.dat,120,5,guloso,,,,1930862347,0.002088,1175.00,,,
2026-01-17 17:19:13,tc120-1.dat,120,5,guloso,,,,1934692528,0.002080,1175.00,,,
2026-01-17 17:19:13,tc120-1.dat,120,5,guloso,,,,1938907919,0.002345,1175.00,,,
2026-01-17 17:19:13,tc120-1.dat,120,5,guloso,,,,1943360299,0.002069,1175.00,,,
2026-01-17 17:19:13,tc120-1.dat,120,5,randomizado,0.03,100,,1001,0.228847,1319.00,1448.83,,
2026-01-17 17:19:13,tc120-1.dat,120,5,randomizado,0.03,100,,1002,0.229540,1314.00,1443.60,,
2026-01-17 17:19:14,tc120-1.dat,120,5,randomizado,0.03,100,,1003,0.226365,1259.00,1445.09,,
2026-01-17 17:19:14,tc120-1.dat,120,5,randomizado,0.03,100,,1004,0.212236,1298.00,1440.72,,
2026-01-17 17:19:14,tc120-1.dat,120,5,randomizado,0.03,100,,1005,0.215364,1300.00,1437.59,,
2026-01-17 17:19:14,tc120-1.dat,120,5,randomizado,0.03,100,,1006,0.213845,1311.00,1441.59,,
2026-01-17 17:19:14,tc120-1.dat,120,5,randomizado,0.03,100,,1007,0.213940,1303.00,1446.85,,
2026-01-17 17:19:15,tc120-1.dat,120,5,randomizado,0.03,100,,1008,0.215178,1256.00,1435.10,,
2026-01-17 17:19:15,tc120-1.dat,120,5,randomizado,0.03,100,,1009,0.212927,1316.00,1442.53,,
2026-01-17 17:19:15,tc120-1.dat,120,5,randomizado,0.03,100,,1010,0.214325,1260.00,1430.83,,
2026-01-17 17:19:15,tc120-1.dat,120,5,randomizado,0.04,100,,1001,0.219473,1301.00,1525.48,,
2026-01-17 17:19:16,tc120-1.dat,120,5,randomizado,0.04,100,,1002,0.219213,1373.00,1537.79,,
2026-01-17 17:19:16,tc120-1.dat,120,5,randomizado,0.04,100,,1003,0.218190,1396.00,1533.64,,
2026-01-17 17:19:16,tc120-1.dat,120,5,randomizado,0.04,100,,1004,0.216866,1362.00,1526.27,,
2026-01-17 17:19:16,tc120-1.dat,120,5,randomizado,0.04,100,,1005,0.218824,1403.00,1534.62,,
2026-01-17 17:19:16,tc120-1.dat,120,5,randomizado,0.04,100,,1006,0.220494,1369.00,1532.58,,
2026-01-17 17:19:17,tc120-1.dat,120,5,randomizado,0.04,100,,1007,0.220408,1413.00,1528.66,,
2026-01-17 17:19:17,tc120-1.dat,120,5,randomizado,0.04,100,,1008,0.221874,1351.00,1529.40,,
2026-01-17 17:19:17,tc120-1.dat,120,5,randomizado,0.04,100,,1009,0.219364,1370.00,1526.05,,
2026-01-17 17:19:17,tc120-1.dat,120,5,randomizado,0.04,100,,1010,0.216621,1361.00,1540.28,,
2026-01-17 17:19:18,tc120-1.dat,120,5,randomizado,0.05,100,,1001,0.217654,1443.00,1620.40,,
2026-01-17 17:19:18,tc120-1.dat,120,5,randomizado,0.05,100,,1002,0.221329,1436.00,1622.14,,
2026-01-17 17:19:18,tc120-1.dat,120,5,randomizado,0.05,100,,1003,0.224566,1384.00,1607.93,,
2026-01-17 17:19:18,tc120-1.dat,120,5,randomizado,0.05,100,,1004,0.222353,1446.00,1612.62,,
2026-01-17 17:19:18,tc120-1.dat,120,5,randomizado,0.05,100,,1005,0.218120,1418.00,1611.20,,
